dataset,column,category_value,frequency,percentage
olist_orders_dataset.csv,order_status,delivered,96478,97.0203
olist_orders_dataset.csv,order_status,shipped,1107,1.1132
olist_orders_dataset.csv,order_status,canceled,625,0.6285
olist_orders_dataset.csv,order_status,unavailable,609,0.6124
olist_orders_dataset.csv,order_status,invoiced,314,0.3158
olist_orders_dataset.csv,order_status,processing,301,0.3027
olist_orders_dataset.csv,order_status,created,5,0.005
olist_orders_dataset.csv,order_status,approved,2,0.002
olist_order_payments_dataset.csv,payment_type,credit_card,76795,73.9224
olist_order_payments_dataset.csv,payment_type,boleto,19784,19.044
olist_order_payments_dataset.csv,payment_type,voucher,5775,5.559
olist_order_payments_dataset.csv,payment_type,debit_card,1529,1.4718
olist_order_payments_dataset.csv,payment_type,not_defined,3,0.0029
olist_order_reviews_dataset.csv,review_score,5,57328,57.7763
olist_order_reviews_dataset.csv,review_score,4,19142,19.2917
olist_order_reviews_dataset.csv,review_score,1,11424,11.5133
olist_order_reviews_dataset.csv,review_score,3,8179,8.243
olist_order_reviews_dataset.csv,review_score,2,3151,3.1756
olist_customers_dataset.csv,customer_state,SP,41746,41.9807
olist_customers_dataset.csv,customer_state,RJ,12852,12.9242
olist_customers_dataset.csv,customer_state,MG,11635,11.7004
olist_customers_dataset.csv,customer_state,RS,5466,5.4967
olist_customers_dataset.csv,customer_state,PR,5045,5.0734
olist_customers_dataset.csv,customer_state,SC,3637,3.6574
olist_customers_dataset.csv,customer_state,BA,3380,3.399
olist_customers_dataset.csv,customer_state,DF,2140,2.152
olist_customers_dataset.csv,customer_state,ES,2033,2.0444
olist_customers_dataset.csv,customer_state,GO,2020,2.0314
olist_customers_dataset.csv,customer_state,PE,1652,1.6613
olist_customers_dataset.csv,customer_state,CE,1336,1.3435
olist_customers_dataset.csv,customer_state,PA,975,0.9805
olist_customers_dataset.csv,customer_state,MT,907,0.9121
olist_customers_dataset.csv,customer_state,MA,747,0.7512
olist_customers_dataset.csv,customer_state,MS,715,0.719
olist_customers_dataset.csv,customer_state,PB,536,0.539
olist_customers_dataset.csv,customer_state,PI,495,0.4978
olist_customers_dataset.csv,customer_state,RN,485,0.4877
olist_customers_dataset.csv,customer_state,AL,413,0.4153
olist_customers_dataset.csv,customer_state,SE,350,0.352
olist_customers_dataset.csv,customer_state,TO,280,0.2816
olist_customers_dataset.csv,customer_state,RO,253,0.2544
olist_customers_dataset.csv,customer_state,AM,148,0.1488
olist_customers_dataset.csv,customer_state,AC,81,0.0815
olist_customers_dataset.csv,customer_state,AP,68,0.0684
olist_customers_dataset.csv,customer_state,RR,46,0.0463
olist_sellers_dataset.csv,seller_state,SP,1849,59.7415
olist_sellers_dataset.csv,seller_state,PR,349,11.2763
olist_sellers_dataset.csv,seller_state,MG,244,7.8837
olist_sellers_dataset.csv,seller_state,SC,190,6.1389
olist_sellers_dataset.csv,seller_state,RJ,171,5.525
olist_sellers_dataset.csv,seller_state,RS,129,4.168
olist_sellers_dataset.csv,seller_state,GO,40,1.2924
olist_sellers_dataset.csv,seller_state,DF,30,0.9693
olist_sellers_dataset.csv,seller_state,ES,23,0.7431
olist_sellers_dataset.csv,seller_state,BA,19,0.6139
olist_sellers_dataset.csv,seller_state,CE,13,0.42
olist_sellers_dataset.csv,seller_state,PE,9,0.2908
olist_sellers_dataset.csv,seller_state,PB,6,0.1939
olist_sellers_dataset.csv,seller_state,MS,5,0.1616
olist_sellers_dataset.csv,seller_state,RN,5,0.1616
olist_sellers_dataset.csv,seller_state,MT,4,0.1292
olist_sellers_dataset.csv,seller_state,RO,2,0.0646
olist_sellers_dataset.csv,seller_state,SE,2,0.0646
olist_sellers_dataset.csv,seller_state,AC,1,0.0323
olist_sellers_dataset.csv,seller_state,PI,1,0.0323
olist_sellers_dataset.csv,seller_state,MA,1,0.0323
olist_sellers_dataset.csv,seller_state,AM,1,0.0323
olist_sellers_dataset.csv,seller_state,PA,1,0.0323
