product_category_name,product_count,translation_status,english_name
agro_industria_e_comercio,74,OFFICIALLY_TRANSLATED,agro_industry_and_commerce
alimentos,82,OFFICIALLY_TRANSLATED,food
alimentos_bebidas,104,OFFICIALLY_TRANSLATED,food_drink
artes,55,OFFICIALLY_TRANSLATED,art
artes_e_artesanato,19,OFFICIALLY_TRANSLATED,arts_and_craftmanship
artigos_de_festas,26,OFFICIALLY_TRANSLATED,party_supplies
artigos_de_natal,65,OFFICIALLY_TRANSLATED,christmas_supplies
audio,58,OFFICIALLY_TRANSLATED,audio
automotivo,1900,OFFICIALLY_TRANSLATED,auto
bebes,919,OFFICIALLY_TRANSLATED,baby
bebidas,81,OFFICIALLY_TRANSLATED,drinks
beleza_saude,2444,OFFICIALLY_TRANSLATED,health_beauty
brinquedos,1411,OFFICIALLY_TRANSLATED,toys
cama_mesa_banho,3029,OFFICIALLY_TRANSLATED,bed_bath_table
casa_conforto,111,OFFICIALLY_TRANSLATED,home_confort
casa_conforto_2,5,OFFICIALLY_TRANSLATED,home_comfort_2
casa_construcao,225,OFFICIALLY_TRANSLATED,home_construction
cds_dvds_musicais,1,OFFICIALLY_TRANSLATED,cds_dvds_musicals
cine_foto,28,OFFICIALLY_TRANSLATED,cine_photo
climatizacao,124,OFFICIALLY_TRANSLATED,air_conditioning
consoles_games,317,OFFICIALLY_TRANSLATED,consoles_games
construcao_ferramentas_construcao,400,OFFICIALLY_TRANSLATED,construction_tools_construction
construcao_ferramentas_ferramentas,39,OFFICIALLY_TRANSLATED,costruction_tools_tools
construcao_ferramentas_iluminacao,78,OFFICIALLY_TRANSLATED,construction_tools_lights
construcao_ferramentas_jardim,88,OFFICIALLY_TRANSLATED,costruction_tools_garden
construcao_ferramentas_seguranca,91,OFFICIALLY_TRANSLATED,construction_tools_safety
cool_stuff,789,OFFICIALLY_TRANSLATED,cool_stuff
dvds_blu_ray,48,OFFICIALLY_TRANSLATED,dvds_blu_ray
eletrodomesticos,370,OFFICIALLY_TRANSLATED,home_appliances
eletrodomesticos_2,90,OFFICIALLY_TRANSLATED,home_appliances_2
eletronicos,517,OFFICIALLY_TRANSLATED,electronics
eletroportateis,231,OFFICIALLY_TRANSLATED,small_appliances
esporte_lazer,2867,OFFICIALLY_TRANSLATED,sports_leisure
fashion_bolsas_e_acessorios,849,OFFICIALLY_TRANSLATED,fashion_bags_accessories
fashion_calcados,173,OFFICIALLY_TRANSLATED,fashion_shoes
fashion_esporte,19,OFFICIALLY_TRANSLATED,fashion_sport
fashion_roupa_feminina,27,OFFICIALLY_TRANSLATED,fashio_female_clothing
fashion_roupa_infanto_juvenil,5,OFFICIALLY_TRANSLATED,fashion_childrens_clothes
fashion_roupa_masculina,95,OFFICIALLY_TRANSLATED,fashion_male_clothing
fashion_underwear_e_moda_praia,53,OFFICIALLY_TRANSLATED,fashion_underwear_beach
ferramentas_jardim,753,OFFICIALLY_TRANSLATED,garden_tools
flores,14,OFFICIALLY_TRANSLATED,flowers
fraldas_higiene,12,OFFICIALLY_TRANSLATED,diapers_and_hygiene
industria_comercio_e_negocios,68,OFFICIALLY_TRANSLATED,industry_commerce_and_business
informatica_acessorios,1639,OFFICIALLY_TRANSLATED,computers_accessories
instrumentos_musicais,289,OFFICIALLY_TRANSLATED,musical_instruments
la_cuisine,10,OFFICIALLY_TRANSLATED,la_cuisine
livros_importados,31,OFFICIALLY_TRANSLATED,books_imported
livros_interesse_geral,216,OFFICIALLY_TRANSLATED,books_general_interest
livros_tecnicos,123,OFFICIALLY_TRANSLATED,books_technical
malas_acessorios,349,OFFICIALLY_TRANSLATED,luggage_accessories
market_place,104,OFFICIALLY_TRANSLATED,market_place
moveis_colchao_e_estofado,10,OFFICIALLY_TRANSLATED,furniture_mattress_and_upholstery
moveis_cozinha_area_de_servico_jantar_e_jardim,94,OFFICIALLY_TRANSLATED,kitchen_dining_laundry_garden_furniture
moveis_decoracao,2657,OFFICIALLY_TRANSLATED,furniture_decor
moveis_escritorio,309,OFFICIALLY_TRANSLATED,office_furniture
moveis_quarto,45,OFFICIALLY_TRANSLATED,furniture_bedroom
moveis_sala,156,OFFICIALLY_TRANSLATED,furniture_living_room
musica,27,OFFICIALLY_TRANSLATED,music
papelaria,849,OFFICIALLY_TRANSLATED,stationery
pc_gamer,3,UNMAPPED_PRESERVED_FALLBACK,[pc_gamer]
pcs,30,OFFICIALLY_TRANSLATED,computers
perfumaria,868,OFFICIALLY_TRANSLATED,perfumery
pet_shop,719,OFFICIALLY_TRANSLATED,pet_shop
portateis_casa_forno_e_cafe,31,OFFICIALLY_TRANSLATED,small_appliances_home_oven_and_coffee
portateis_cozinha_e_preparadores_de_alimentos,10,UNMAPPED_PRESERVED_FALLBACK,[portateis_cozinha_e_preparadores_de_alimentos]
relogios_presentes,1329,OFFICIALLY_TRANSLATED,watches_gifts
seguros_e_servicos,2,OFFICIALLY_TRANSLATED,security_and_services
sinalizacao_e_seguranca,93,OFFICIALLY_TRANSLATED,signaling_and_security
tablets_impressao_imagem,9,OFFICIALLY_TRANSLATED,tablets_printing_image
telefonia,1134,OFFICIALLY_TRANSLATED,telephony
telefonia_fixa,116,OFFICIALLY_TRANSLATED,fixed_telephony
utilidades_domesticas,2335,OFFICIALLY_TRANSLATED,housewares
,610,MISSING_ORIGINAL,unknown
