candidate_breakpoint_days,slope_before_breakpoint (b1),slope_change_after_breakpoint (b2),net_slope_after_breakpoint (b1+b2),residual_sum_of_squares,aic,delta_aic_vs_linear,p_value_slope_change
0.5,-0.020786807086464777,-0.04486456041141159,-0.06565136749787637,144531.0306780995,311324.58054477524,-1555.8972201196011,0.0
1.0,-0.021787727154881205,-0.04256051973869967,-0.06434824689358087,144801.5627190687,311503.77549508563,-1376.7022698092042,9.150344307502889e-302
1.5,-0.022772264443648712,-0.04012601429788579,-0.0628982787415345,145065.98956090322,311678.6032363853,-1201.8745285095647,8.970403657855341e-264
2.0,-0.02373941036660656,-0.03759213973568207,-0.06133155010228863,145317.21933218485,311844.41067202576,-1036.0670928690815,9.732961075710426e-228
2.5,-0.02468154891948378,-0.03498105174670549,-0.05966260066618927,145552.8017970487,311999.6309244366,-880.8468404582236,5.342697366356379e-194
3.0,-0.02559895642279665,-0.03230846722641948,-0.05790742364921613,145770.0007488382,312142.5162463596,-737.9615185352159,6.19476253239846e-163
3.5,-0.026480888069764664,-0.02961503707153204,-0.0560959251412967,145966.28493528796,312271.4596767344,-609.018088160432,6.794646545371372e-135
4.0,-0.027324462367568653,-0.026919047965698703,-0.05424351033326735,146141.13317722664,312386.17542099603,-494.30234389880206,6.115832165203499e-110
4.5,-0.028120548845773863,-0.024261393137694112,-0.052381941983467975,146293.60911826039,312486.10100290854,-394.37676198629197,3.410581535562805e-88
5.0,-0.02887998510726267,-0.021610302047794523,-0.0504902871550572,146426.5689208704,312573.15165371686,-307.32611117797205,3.0795588436582646e-69
5.5,-0.029594816966525703,-0.019002716515712583,-0.04859753348223829,146539.75992795263,312647.1971294886,-233.28063540626317,4.223314324574843e-53
6.0,-0.030267390530802737,-0.016441188174004893,-0.04670857870480763,146634.57291559147,312709.17636181845,-171.30140307638794,1.4110063746342179e-39
6.5,-0.030890036356287506,-0.013968597505426818,-0.04485863386171432,146711.41545324045,312759.3789198084,-121.09884508640971,1.3297302586971008e-28
7.0,-0.03146944181722351,-0.01156915755592486,-0.04303859937314837,146772.64444286985,312799.3620574919,-81.11570740293246,7.75072474323025e-20
7.5,-0.0319924601673317,-0.009314452497793679,-0.04130691266512537,146818.74066240556,312829.45234216086,-51.025422733975574,3.295839292178314e-13
8.0,-0.03247330152357798,-0.007153091460843803,-0.039626392984421784,146852.82972707922,312851.69862595084,-28.77913894399535,2.8929696687607116e-08
8.5,-0.0328991331176756,-0.0051614368233364035,-0.03806056994101201,146875.8370456607,312866.7101215905,-13.767643304308876,7.163870878382449e-05
9.0,-0.033293005427397784,-0.003241436789468046,-0.03653444221686583,146890.6264569033,312876.3584696505,-4.119295244337991,0.013373100804409958
9.5,-0.03364683069109168,-0.0014450041351165039,-0.03509183482620818,146898.17285440332,312881.281230463,0.8034655681694858,0.27402419845998083
10.0,-0.03397837004403769,0.00031024692633794106,-0.03366812311769975,146899.9239350792,312882.42348125717,1.9457163623301312,0.8157736455035174
