dominant_category,order_count,total_gmv,mean_item_price,mean_freight,freight_share_pct,mean_review_score,low_review_rate,eligible_deliveries,late_delivery_rate,mean_delivery_days,low_review_rate_pct,late_delivery_rate_pct,gmv_share_pct
bed_bath_table,9350,1249303.58,111.56729304812835,22.048063101604278,19.898226951871656,3.978155077322375,0.1639572192513369,9206,0.08787747121442535,13.012642841625027,16.395721925133692,8.787747121442536,7.88524872593542
health_beauty,8802,1442304.33,143.0988673028857,20.762110883890024,19.382848000454445,4.183930410896188,0.1250852079072938,8614,0.08995937318630298,12.098271619268717,12.50852079072938,8.995937318630299,9.103414544400522
sports_leisure,7682,1155900.55,128.5590223900026,21.909677167404325,19.875171530851343,4.1740269951513564,0.12770111950013016,7491,0.07781633742658833,12.257817672183663,12.770111950013016,7.781633742658833,7.295715377038743
computers_accessories,6671,1060955.93,136.8899955029231,22.1500179883076,20.54715020236846,4.026843613331323,0.15964622995053215,6512,0.07724201474201475,13.184480958230958,15.964622995053215,7.724201474201475,6.696451950698908
furniture_decor,6332,899725.68,114.93418667087808,27.157676879343022,22.370905764371447,4.027857370264247,0.1609286165508528,6190,0.08610662358642973,13.137584814216478,16.09286165508528,8.610662358642973,5.678812488403643
housewares,5821,777678.89,108.52624978526028,25.07259749183989,24.25640286892287,4.151903114186851,0.12850025768768253,5680,0.07024647887323943,11.108137323943662,12.850025768768253,7.024647887323942,4.908487876549087
watches_gifts,5606,1306537.36,215.07775240813413,17.9827827327863,12.782350445950767,4.0672782874617734,0.15019621833749555,5475,0.08547945205479457,12.823265753424659,15.019621833749556,8.547945205479458,8.246492060262108
telephony,4179,394349.56,77.36532424024887,16.99925101698971,30.104845632926537,4.010125361620058,0.15171093563053362,4073,0.085440707095507,12.966825435796709,15.171093563053361,8.544070709550699,2.489022216332073
auto,3879,685521.51,152.86127610208817,23.86507347254447,21.26596924465068,4.096138896087069,0.1425625161124001,3791,0.08652070693748348,12.346172513848588,14.256251611240009,8.652070693748348,4.326816716020957
toys,3871,562778.51,125.26712994058383,20.116106949108758,18.724426918109014,4.190984887962481,0.1250322913975717,3788,0.07548165742940094,11.745806281340723,12.503229139757169,7.548165742940094,3.552097824742753
cool_stuff,3601,719227.94,176.36032213274092,23.369736184393222,15.804911246875868,4.183015695067264,0.12024437656206609,3528,0.06859410430838997,12.396082766439909,12.024437656206608,6.859410430838997,4.539562111510284
garden_tools,3476,582502.83,139.28496260069045,28.293527042577676,22.7384499712313,4.1493487698986975,0.13003452243958574,3407,0.08042265923099501,13.675565013208102,13.003452243958574,8.042265923099501,3.676592120316566
perfumery,3146,452585.08,126.68173871582962,17.1787444373808,17.73514561347743,4.208359923420549,0.13127781309599493,3070,0.07421875,11.923385416666667,13.127781309599493,7.421875,2.8565882485083254
baby,2833,480211.84,145.36257677373808,24.143896929050477,20.19052929756442,4.055179779280883,0.153900458877515,2757,0.09285455204932902,12.730243017772942,15.3900458877515,9.285455204932902,3.03096049683865
electronics,2536,207251.47,63.316849369085176,18.40691640378549,36.09363947160883,4.100119189511323,0.13801261829652997,2503,0.09868158210147826,12.94612864562525,13.801261829652997,9.868158210147826,1.3081123082715755
stationery,2290,277461.65,100.77886462882097,20.383427947598253,20.9128435371179,4.255496921723835,0.11048034934497816,2243,0.07802050824788231,12.812447614801604,11.048034934497815,7.802050824788232,1.7512589871538187
fashion_bags_accessories,1855,184291.38,82.3813692722372,16.967083557951483,22.795491698113207,4.190140845070423,0.11482479784366577,1811,0.06622516556291391,11.235700883002208,11.482479784366577,6.622516556291391,1.1631947531486946
pet_shop,1703,254025.2,125.86327069876688,23.300088079859073,20.3420728126835,4.243801652892562,0.11391661773341162,1681,0.06246281975014867,11.3824747174301,11.391661773341163,6.246281975014867,1.6033347832521945
unknown,1410,205319.66,126.07051773049645,19.546262411347517,20.268584539007094,3.9442458899213726,0.18936170212765957,1353,0.09016999260901704,12.775254988913524,18.93617021276596,9.016999260901704,1.2959192732197995
office_furniture,1270,343435.13,216.3672125984252,54.05414960629921,20.020233858267716,3.6206349206349207,0.22440944881889763,1251,0.0919264588329336,20.667474020783374,22.440944881889763,9.192645883293359,2.1676648211269556
consoles_games,1057,177355.68,149.07975402081362,18.711807000946074,22.777856859035005,4.0687679083094554,0.14096499526963102,1013,0.08193484698914122,13.80609081934847,14.096499526963102,8.193484698914123,1.1194185882004837
luggage_accessories,1029,171163.21,136.68273080660836,29.656637512147718,19.466611078717204,4.331707317073171,0.0913508260447036,1014,0.05424063116370814,10.868767258382643,9.13508260447036,5.424063116370814,1.0803334795370687
home_appliances,764,94990.43000000001,104.93655759162303,19.396465968586387,25.130592277486908,4.1563731931668855,0.1243455497382199,747,0.06693440428380193,11.311459170013388,12.43455497382199,6.6934404283801925,0.5995525660252713
construction_tools_construction,739,165683.47,196.1392557510149,28.06029769959405,19.747775507442487,4.102179836512262,0.13937753721244925,727,0.09215955983493807,10.867991746905089,13.937753721244924,9.215955983493807,1.0457469198367777
small_appliances,628,206463.07,303.0724044585987,25.69044585987261,17.438400318471338,4.176848874598071,0.13694267515923567,607,0.06260296540362442,10.999588138385503,13.694267515923567,6.260296540362442,1.3031361517992412
musical_instruments,624,210099.18,306.8640224358974,29.833381410256408,17.067430288461537,4.1877022653721685,0.1282051282051282,607,0.08896210873146626,13.10515650741351,12.82051282051282,8.896210873146625,1.3260862435174294
books_general_interest,509,56076.2,92.082278978389,18.087072691552063,23.576797445972492,4.46930693069307,0.08055009823182711,492,0.06910569105691056,11.542662601626017,8.055009823182711,6.910569105691056,0.35393701873911204
home_construction,477,97106.81,174.39062893081763,29.187589098532495,17.759944444444447,4.014767932489452,0.16142557651991615,470,0.08085106382978724,13.492744680851064,16.142557651991616,8.085106382978724,0.6129105544003587
food,444,36251.6,65.46094594594595,16.1868018018018,23.479861486486485,4.280182232346242,0.11261261261261261,435,0.10114942528735638,9.813770114942528,11.26126126126126,10.114942528735638,0.2288097843385036
furniture_living_room,416,87630.84,166.79858173076926,43.85247596153847,22.769763461538464,4.036496350364963,0.1466346153846154,408,0.08578431372549022,13.959142156862745,14.663461538461538,8.578431372549023,0.5531009280087475
home_confort,359,63891.99,155.38637883008357,22.58573816155989,15.877249582172702,3.9047619047619047,0.18384401114206128,354,0.10734463276836159,13.73223163841808,18.384401114206128,10.73446327683616,0.4032680613506115
audio,346,55772.03,144.7962716763006,16.39456647398844,20.498956069364162,3.8425655976676385,0.2138728323699422,344,0.1308139534883721,13.466046511627907,21.38728323699422,13.08139534883721,0.3520171842462278
drinks,291,28057.81,77.07670103092784,19.341890034364262,25.357579381443298,4.172413793103448,0.11683848797250859,281,0.06761565836298933,10.405587188612099,11.683848797250858,6.761565836298933,0.1770929132813644
