metric,value
total_orders_evaluated,99441.0
total_gmv_brl,15843553.24
total_settlement_value_brl,16008872.12
net_difference_brl,-165318.88
exact_match_count,98092.0
exact_match_pct,98.6434
rounding_diff_count_le_0_10,317.0
material_diff_count_gt_0_10,1032.0
orders_with_diff_ge_0_01,1151.0
max_absolute_difference_brl,3782.19
orders_payment_recorded_no_items,775.0
orders_items_recorded_no_payment,1.0
diff_q01_brl,-0.0
diff_q05_brl,-0.0
diff_q25_brl,0.0
diff_q50_brl,0.0
diff_q75_brl,0.0
diff_q95_brl,0.0
diff_q99_brl,0.0
