corridor,orders,gmv,mean_distance_km,late_orders,late_rate,severe_late_orders,severe_late_rate,low_reviews,low_review_rate,median_delay_days,median_duration_days,order_share_pct,dissatisfaction_share_pct
SP -> SP,30542,3963016.03,150.11720982662865,1883,6.165280597210399,959,3.1399384454194226,3280,10.739309802894375,-9.31,6.54,31.873017198196695,26.727509778357234
SP -> RJ,8065,1237250.34,440.78308654259257,1235,15.313081215127092,968,12.002479851208928,1625,20.148791072535648,-12.04,12.8,8.41647186508599,13.241525423728815
SP -> MG,7390,1089002.22,495.14643167060444,461,6.2381596752368065,284,3.8430311231393772,921,12.462787550744249,-12.555,10.78,7.712055434964101,7.504889178617992
SP -> RS,3582,522370.06,906.4866907778637,270,7.537688442211055,193,5.388051367950865,460,12.841987716359576,-14.3,13.89,3.7381031891801633,3.748370273794003
SP -> BA,2292,373746.79,1387.7929731427914,337,14.703315881326354,235,10.253054101221641,417,18.19371727748691,-11.45,17.61,2.3918851227249958,3.397979139504563
SP -> PR,3104,465351.17,463.04053486231044,164,5.283505154639175,92,2.9639175257731956,369,11.887886597938143,-13.1,11.09,3.239271998664218,3.006844850065189
SP -> SC,2305,353322.7,561.6964964758882,252,10.932754880694143,166,7.20173535791757,344,14.92407809110629,-11.36,13.83,2.405451661379195,2.803129074315515
PR -> SP,2908,516327.31,469.7255910970259,101,3.473177441540578,62,2.1320495185694637,287,9.869325997248968,-14.504999999999999,9.445,3.0347303389547506,2.338657105606258
MG -> SP,2534,373518.42,417.83856863014216,107,4.222573007103394,68,2.6835043409629047,246,9.707971586424625,-13.11,9.225000000000001,2.6444314576723995,2.0045632333767927
SP -> ES,1444,214645.7,784.6920687124979,200,13.850415512465375,136,9.418282548476455,209,14.473684210526317,-10.2,13.530000000000001,1.5069293705126063,1.7030638852672753
SP -> DF,1374,205172.07,807.6974662195504,114,8.296943231441048,64,4.657933042212519,203,14.77438136826783,-11.155000000000001,11.745000000000001,1.4338787777592252,1.6541720990873532
SP -> GO,1413,217658.51,747.1081546511236,127,8.987968860580326,77,5.449398443029016,199,14.08351026185421,-12.13,14.05,1.4745783937218233,1.6215775749674053
PR -> RJ,957,170394.87,843.8635763676664,130,13.584117032392895,92,9.61337513061651,192,20.06269592476489,-14.06,14.0,0.9987059609283687,1.564537157757497
RJ -> SP,1311,288280.44,401.65910776017984,118,9.000762776506484,82,6.254767353165523,175,13.348588863463004,-12.24,9.43,1.3681332442811822,1.4260104302477183
SP -> PE,1119,194823.89,2047.4090837824172,119,10.63449508489723,91,8.132260947274352,172,15.370866845397677,-14.18,15.9,1.1677659041576223,1.4015645371577574
SP -> CE,964,182775.49,2257.178755136071,146,15.145228215767634,108,11.20331950207469,162,16.804979253112034,-12.18,18.335,1.006011020203707,1.320078226857888
SC -> SP,1313,232022.31,512.1353779831902,57,4.341203351104341,39,2.9702970297029703,157,11.957349581111957,-14.2,10.29,1.370220404074136,1.2793350717079532
MG -> RJ,1130,177622.59,371.011374479966,104,9.20353982300885,75,6.637168141592921,151,13.362831858407079,-13.015,11.36,1.179245283018868,1.2304432855280312
MG -> MG,1519,205780.96,258.72400917441587,48,3.1599736668861094,29,1.9091507570770245,132,8.6899275839368,-11.97,7.27,1.585197862748372,1.0756192959582789
