model_name,predictor,coefficient,std_error,p_value,odds_ratio,ci_lower_95,ci_upper_95,standardized_step,standardized_odds_ratio,mcfadden_pseudo_r2,aic,bic,sample_n
Model 1 (Unadjusted),delivery_delay_days,0.0754680004123183,0.0010721320320727428,0.0,1.0783887191715507,1.0761249953010723,1.0806572049849112,5 units,1.4584000841194573,0.08060162595264164,67121.72468164595,67140.65525891686,95348
Model 2 (Delivery Controls),delivery_delay_days,0.022993827830015776,0.0014810546276461506,2.338819698728237e-54,1.0232602237916872,1.020294142536453,1.0262349276956713,5 units,1.1218388161383772,0.11215049472622451,64822.60086923247,64860.462023774286,95348
Model 2 (Delivery Controls),delivery_days_total,0.07310946149342447,0.0016058369134311482,0.0,1.0758482944306356,1.0724674493929556,1.0792397972399574,7 units,1.6682350819953047,0.11215049472622451,64822.60086923247,64860.462023774286,95348
Model 2 (Delivery Controls),haversine_distance_km,-0.0002729438610776191,2.073454951586101e-05,1.4191730455909404e-39,0.9997270933847093,0.9996864655840626,0.9997677228364918,500 units,0.8724308085786563,0.11215049472622451,64822.60086923247,64860.462023774286,95348
Model 3 (Commercial Controls),delivery_delay_days,0.027888394730593985,0.0015101765676425302,3.808272127941581e-76,1.0282809164484836,1.0252417604761337,1.0313290814852127,5 units,1.1496320948316952,0.11895286003323358,64330.016042950956,64386.807774763685,95348
Model 3 (Commercial Controls),delivery_days_total,0.06774206648569166,0.0016284237397091387,0.0,1.0700892609956438,1.0666792905475437,1.0735101324695349,7 units,1.6067194079810494,0.11895286003323358,64330.016042950956,64386.807774763685,95348
Model 3 (Commercial Controls),haversine_distance_km,-0.0004125305378738909,2.1997750121667106e-05,1.8192250771759579e-78,0.9995875545411488,0.9995444576628201,0.999630653277665,500 units,0.8136172202791362,0.11895286003323358,64330.016042950956,64386.807774763685,95348
Model 3 (Commercial Controls),log_gmv,0.4008938602331077,0.01768310830390651,8.65919892309151e-114,1.4931587765644825,1.442294095740868,1.5458172772220187,1 unit,1.4931587765644825,0.11895286003323358,64330.016042950956,64386.807774763685,95348
Model 3 (Commercial Controls),freight_share_pct,0.020314229691526683,0.0011386390157306042,3.4078865669606397e-71,1.0205219679518962,1.0182469754703578,1.0228020432776912,1 unit,1.0205219679518962,0.11895286003323358,64330.016042950956,64386.807774763685,95348
Model 4 (Geography & Category),delivery_delay_days,0.025201889052514862,0.0015670054445499852,3.3661884445286625e-58,1.0255221413195537,1.02237725567683,1.0286767007941733,5 units,1.1342928819265343,0.12226335051784876,64128.34432024659,64374.441824768415,95348
Model 4 (Geography & Category),delivery_days_total,0.0712565011727695,0.0017373715891972265,0.0,1.0738566360318609,1.0702061065388915,1.077519617673531,7 units,1.646736594967321,0.12226335051784876,64128.34432024659,64374.441824768415,95348
Model 4 (Geography & Category),haversine_distance_km,-0.00031739049238811387,3.528036876438001e-05,2.335907251718418e-19,0.9996826598706459,0.9996135346818006,0.9997517898396301,500 units,0.8532563524709753,0.12226335051784876,64128.34432024659,64374.441824768415,95348
Model 4 (Geography & Category),log_gmv,0.43040904393765744,0.018082325302549506,3.127911728065352e-125,1.5378864580410585,1.4843362258167452,1.5933686160119798,1 unit,1.5378864580410585,0.12226335051784876,64128.34432024659,64374.441824768415,95348
Model 4 (Geography & Category),freight_share_pct,0.02209219455464184,0.0011988777477675153,7.920537845228286e-76,1.0223380341254686,1.0199385640605525,1.0247431490956715,1 unit,1.0223380341254686,0.12226335051784876,64128.34432024659,64374.441824768415,95348
Model 4 (Geography & Category),is_interstate,-0.13180709063752344,0.030483216360764568,1.5327857942011238e-05,0.8765100657691813,0.8256748766878742,0.930475078128264,1 unit,0.8765100657691813,0.12226335051784876,64128.34432024659,64374.441824768415,95348
Model 5 (Feedback Timing),delivery_delay_days,0.007558231942183593,0.0015564938385838425,1.198203796371341e-06,1.007586867476436,1.0045176780956186,1.0106654344159174,5 units,1.0385143265977184,0.1452024055601382,62455.752299806285,62711.31509296356,95348
Model 5 (Feedback Timing),delivery_days_total,0.05326610068490983,0.0017817064499822887,2.2104598842407113e-196,1.0547102669052801,1.0510334897532436,1.058399906340353,7 units,1.4518849892999934,0.1452024055601382,62455.752299806285,62711.31509296356,95348
Model 5 (Feedback Timing),haversine_distance_km,-0.00029704765165184435,3.572136741431483e-05,9.122355315194512e-17,0.9997029964626337,0.9996330058270583,0.9997729919986966,500 units,0.8619794695530468,0.1452024055601382,62455.752299806285,62711.31509296356,95348
Model 5 (Feedback Timing),log_gmv,0.4492560950468285,0.018374758181479517,5.0778172857344707e-132,1.5671459441274094,1.511710164158647,1.6246146043225576,1 unit,1.5671459441274094,0.1452024055601382,62455.752299806285,62711.31509296356,95348
Model 5 (Feedback Timing),freight_share_pct,0.0230976983813421,0.0012187037175594526,4.196773916498777e-80,1.0233665159154979,1.0209249591683451,1.0258139116807843,1 unit,1.0233665159154979,0.1452024055601382,62455.752299806285,62711.31509296356,95348
Model 5 (Feedback Timing),is_interstate,-0.11443889090163027,0.030994636680963784,0.0002223086007505871,0.8918664379067877,0.8392988997598634,0.9477264217695576,1 unit,0.8918664379067877,0.1452024055601382,62455.752299806285,62711.31509296356,95348
Model 5 (Feedback Timing),survey_pre_delivery_flag,1.416778701687583,0.03313222241553892,0.0,4.123814983087928,3.864527972080066,4.400498621720975,1 unit,4.123814983087928,0.1452024055601382,62455.752299806285,62711.31509296356,95348
