dataset,column,data_type,null_count,null_pct,unique_values,action_needed
olist_orders_dataset.csv,order_id,object,0,0.0,99441,None
olist_orders_dataset.csv,customer_id,object,0,0.0,99441,None
olist_orders_dataset.csv,order_status,object,0,0.0,8,None
olist_orders_dataset.csv,order_purchase_timestamp,object,0,0.0,98875,None
olist_orders_dataset.csv,order_approved_at,object,160,0.1609,90733,Review for conditional missingness / non-delivered status
olist_orders_dataset.csv,order_delivered_carrier_date,object,1783,1.793,81018,Review for conditional missingness / non-delivered status
olist_orders_dataset.csv,order_delivered_customer_date,object,2965,2.9817,95664,Review for conditional missingness / non-delivered status
olist_orders_dataset.csv,order_estimated_delivery_date,object,0,0.0,459,None
olist_order_items_dataset.csv,order_id,object,0,0.0,98666,None
olist_order_items_dataset.csv,order_item_id,int64,0,0.0,21,None
olist_order_items_dataset.csv,product_id,object,0,0.0,32951,None
olist_order_items_dataset.csv,seller_id,object,0,0.0,3095,None
olist_order_items_dataset.csv,shipping_limit_date,object,0,0.0,93318,None
olist_order_items_dataset.csv,price,float64,0,0.0,5968,None
olist_order_items_dataset.csv,freight_value,float64,0,0.0,6999,None
olist_order_payments_dataset.csv,order_id,object,0,0.0,99440,None
olist_order_payments_dataset.csv,payment_sequential,int64,0,0.0,29,None
olist_order_payments_dataset.csv,payment_type,object,0,0.0,5,None
olist_order_payments_dataset.csv,payment_installments,int64,0,0.0,24,None
olist_order_payments_dataset.csv,payment_value,float64,0,0.0,29077,None
olist_order_reviews_dataset.csv,review_id,object,0,0.0,98410,None
olist_order_reviews_dataset.csv,order_id,object,0,0.0,98673,None
olist_order_reviews_dataset.csv,review_score,int64,0,0.0,5,None
olist_order_reviews_dataset.csv,review_comment_title,object,87656,88.3415,4527,High missingness: evaluate inclusion or isolate
olist_order_reviews_dataset.csv,review_comment_message,object,58247,58.7025,36159,High missingness: evaluate inclusion or isolate
olist_order_reviews_dataset.csv,review_creation_date,object,0,0.0,636,None
olist_order_reviews_dataset.csv,review_answer_timestamp,object,0,0.0,98248,None
olist_customers_dataset.csv,customer_id,object,0,0.0,99441,None
olist_customers_dataset.csv,customer_unique_id,object,0,0.0,96096,None
olist_customers_dataset.csv,customer_zip_code_prefix,int64,0,0.0,14994,None
olist_customers_dataset.csv,customer_city,object,0,0.0,4119,None
olist_customers_dataset.csv,customer_state,object,0,0.0,27,None
olist_products_dataset.csv,product_id,object,0,0.0,32951,None
olist_products_dataset.csv,product_category_name,object,610,1.8512,73,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_name_lenght,float64,610,1.8512,66,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_description_lenght,float64,610,1.8512,2960,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_photos_qty,float64,610,1.8512,19,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_weight_g,float64,2,0.0061,2204,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_length_cm,float64,2,0.0061,99,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_height_cm,float64,2,0.0061,102,Review for conditional missingness / non-delivered status
olist_products_dataset.csv,product_width_cm,float64,2,0.0061,95,Review for conditional missingness / non-delivered status
olist_sellers_dataset.csv,seller_id,object,0,0.0,3095,None
olist_sellers_dataset.csv,seller_zip_code_prefix,int64,0,0.0,2246,None
olist_sellers_dataset.csv,seller_city,object,0,0.0,611,None
olist_sellers_dataset.csv,seller_state,object,0,0.0,23,None
olist_geolocation_dataset.csv,geolocation_zip_code_prefix,int64,0,0.0,19015,None
olist_geolocation_dataset.csv,geolocation_lat,float64,0,0.0,717360,None
olist_geolocation_dataset.csv,geolocation_lng,float64,0,0.0,717613,None
olist_geolocation_dataset.csv,geolocation_city,object,0,0.0,8011,None
olist_geolocation_dataset.csv,geolocation_state,object,0,0.0,27,None
product_category_name_translation.csv,product_category_name,object,0,0.0,71,None
product_category_name_translation.csv,product_category_name_english,object,0,0.0,71,None
